Row,Response_1,Response_2,Response_3,Response_4,Response_5
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,0,0,0,0,0
5,0,0,0,0,0
6,1,1,1,1,1
7,1,1,1,1,1
8,1,1,0,0,0
9,0,0,0,0,0
10,1,1,1,0,0
11,1,1,1,1,1
12,1,1,1,1,1
13,1,1,1,1,1
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,1,1,1,1,1
18,0,0,0,0,0
19,1,1,1,1,1
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,1,1,1,1,1
26,1,1,1,1,1
27,1,1,1,1,1
28,0,0,0,0,0
29,1,1,1,1,1
30,1,1,1,1,0
31,1,1,1,1,1
32,0,0,0,0,0
33,1,1,1,1,1
34,0,0,0,0,0
35,1,1,1,1,1
36,0,0,0,0,0
37,1,1,1,1,1
38,1,1,1,1,1
39,1,1,1,1,1
40,0,0,0,0,0
41,0,0,0,0,0
42,1,1,1,1,1
43,1,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,1,1,1,1,1
47,1,1,0,0,0
48,1,1,1,1,1
49,0,0,0,0,0
50,1,1,1,1,1
51,1,1,1,1,1
52,1,1,1,1,1
53,1,1,1,1,1
54,1,1,1,1,1
55,0,0,0,0,0
56,1,1,1,1,1
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,1,0,0,0,0
63,1,1,1,1,1
64,0,0,0,0,0
65,0,0,0,0,0
66,1,1,1,1,1
67,0,0,0,0,0
68,1,1,1,1,1
69,1,1,1,0,0
70,1,1,1,1,1
71,1,1,1,1,1
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,1,1,1,1,1
76,0,0,0,0,0
77,1,1,1,1,1
78,1,1,1,0,0
79,1,1,1,1,1
80,0,0,0,0,0
81,1,1,1,1,1
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,1,1,1,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,1,0,0,0,0
90,0,0,0,0,0
91,1,1,1,1,1
92,1,0,0,0,0
93,1,1,1,1,1
94,1,1,1,1,1
95,1,0,0,0,0
96,1,1,1,1,1
97,1,1,0,0,0
98,1,1,0,0,0
99,1,1,1,1,1
100,0,0,0,0,0
101,0,0,0,0,0
102,1,1,1,1,1
103,1,1,1,1,1
104,0,0,0,0,0
105,1,0,0,0,0
106,0,0,0,0,0
107,1,1,1,1,1
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,1,1,0,0,0
114,0,0,0,0,0
115,1,1,1,1,1
116,1,1,1,1,1
117,0,0,0,0,0
118,1,1,1,1,1
119,1,1,1,1,1
120,0,0,0,0,0
121,1,1,1,1,1
122,1,1,1,1,1
123,1,1,1,0,0
124,1,1,1,1,1
125,1,1,1,1,1
126,0,0,0,0,0
127,1,1,1,1,1
128,1,1,1,1,1
129,1,1,1,1,1
130,1,1,1,1,0
131,1,1,1,1,1
132,0,0,0,0,0
133,0,0,0,0,0
134,1,1,1,1,1
135,1,1,0,0,0
136,1,1,1,1,1
137,1,1,1,1,1
138,0,0,0,0,0
139,1,1,1,0,0
140,1,0,0,0,0
141,1,1,1,1,1
142,1,1,1,1,1
143,1,1,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,1,1,1,1,1
147,0,0,0,0,0
148,0,0,0,0,0
149,1,0,0,0,0
150,1,1,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,1,1,1,1,1
154,1,1,1,1,1
155,1,1,1,1,1
156,1,1,1,1,0
157,0,0,0,0,0
158,1,1,1,1,1
159,1,1,1,1,1
160,1,1,1,1,0
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,1,1,1,1,1
166,0,0,0,0,0
167,1,0,0,0,0
168,1,1,1,1,1
169,0,0,0,0,0
170,1,1,1,1,1
171,1,1,1,1,1
172,1,1,1,1,1
173,1,1,1,1,1
174,1,1,0,0,0
175,1,1,1,1,1
176,1,1,1,1,1
177,0,0,0,0,0
178,1,1,1,1,1
179,0,0,0,0,0
180,1,1,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,1,1,1,1,1
187,1,1,1,1,1
188,1,1,1,0,0
189,0,0,0,0,0
190,1,1,1,1,1
191,1,0,0,0,0
192,1,0,0,0,0
193,1,1,0,0,0
194,0,0,0,0,0
195,1,1,1,1,1
196,0,0,0,0,0
197,0,0,0,0,0
198,1,0,0,0,0
199,0,0,0,0,0
200,0,0,0,0,0
